"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","BP","GO:0006260","DNA replication","171/6139","290/18860",0.589655172413793,1.81151597193747,9.67470295366276,1.25487276883401e-20,7.99228466470379e-17,4.85833899344366e-17,"AGER/DACH1/ACVRL1/PCLAF/RPA3/MCM4/RNASEH2A/CDK1/RFC4/FEN1/MCM2/PARP1/GINS1/DONSON/GMNN/CCNA2/ID3/TK1/MCM6/DBF4/CDT1/REV3L/POLD2/CCNE1/CACYBP/GINS2/SMARCA5/CENPX/RBBP4/DNAJC2/DNAJA3/UCHL5/CCNE2/CDC45/TIMELESS/E2F8/CDC6/ACTR5/CHAF1B/KCTD13/PRKDC/CHEK1/HLTF/JADE1/TSPYL2/RUVBL1/PURA/TIPIN/TNFAIP1/YY1/ACTL6A/CDC7/ORC5/PCNA/ORC6/MCM5/ASCC3/MCM7/DSCC1/DNA2/RFC5/GINS3/CINP/WDHD1/RFC2/BRCA1/RMI1/POLB/MCM10/POLE2/RBBP8/DTL/FGFR1/PTK6/PRIM1/CDC25A/RRM1/DDX11/S100A11/FBXO5/GTPBP4/PNKP/FAF1/RAD51/SAMHD1/ORC4/RBMS1/TOPBP1/NFRKB/NFIB/SET/RECQL4/BRCA2/SMARCAL1/SSBP1/ZPR1/NOC3L/PRIM2/BARD1/CENPS/LIG3/BAZ1A/ANKRD17/PDS5A/MCM3/RFC3/ORC2/CDK2AP1/TOP1/CDC34/WAPL/RUVBL2/RAD50/CHAF1A/LIG1/RNASEH1/JADE2/BCL6/RPA2/TREX1/RPA4/RFWD3/DHX9/RECQL5/SSRP1/POLQ/RFC1/POLA2/POLG2/EREG/ATR/GINS4/MCMBP/INO80B/ORC1/ZMPSTE24/NASP/EHMT2/TWNK/ATAD5/WEE1/BLM/SENP2/TRAIP/MRE11/EXO1/CDKN1A/UCN/TP53BP1/ASF1A/TP53/CDK2/SUPT16H/RBBP6/CARM1/NFIC/MEAF6/POLE/PTMS/ZNF365/ASCC2/WDR18/RAD17/EGFR/POLD1/FAM111A/FZR1/GRWD1/POLRMT/RTEL1/POLD4",171
"GO:0051052","BP","GO:0051052","regulation of DNA metabolic process","256/6139","497/18860",0.515090543259557,1.5824413822895,9.14126126850737,6.99861198129522e-19,2.22870798544346e-15,1.35478394037915e-15,"AGER/FGFR4/KLF4/DACH1/ACVRL1/KPNA2/SMARCA2/PRKCQ/FGF2/MCM4/CCT3/CDK1/RFC4/NEK2/KAT2B/MCM2/PARP1/CCT5/HNRNPC/GMNN/CCNA2/VPS72/MRGBP/PDGFB/IL7R/ID3/H2AX/CCT6A/RIOX1/MCM6/TNFSF13/DKC1/H1-0/DBF4/CDT1/BRCC3/CSNK2A1/CACYBP/SMARCA5/DNAJC2/UCHL5/GNL3/UBE2B/FOXM1/TIMELESS/KPNA1/PPP4C/DUSP1/NSD2/RAD51AP1/E2F8/CDC6/ACTR5/KCTD13/PRKDC/CHEK1/SMARCB1/NAT10/JADE1/AURKB/NEK7/TSPYL2/SUPT20H/HGF/RUVBL1/TIPIN/PLK1/TNFAIP1/KAT2A/YY1/ACTL6A/RADX/ATXN7/PMS2/SUB1/UBE2V1/HNRNPD/CDC7/FUS/ORC5/PCNA/NOX4/MORF4L2/MAP3K4/MCM5/MCM7/DSCC1/CCT2/DNA2/RFC5/SMARCC1/MSH6/RFC2/KDM1A/BRCA1/ING3/TINF2/FH/TAF6/MSH2/FGFR1/SF3B3/PTK6/TRRAP/CDC25A/TAF10/SIRT7/DDX11/PDGFRB/TWIST1/S100A11/SUPT3H/FBXO5/SLF2/GTPBP4/PNKP/FAF1/RAD51/AUNIP/CYREN/SMARCE1/TFRC/NFRKB/SMG5/CCT4/NVL/TAF9/SSBP1/C1QBP/SUPT7L/HNRNPU/BARD1/KAT5/LMNA/ANKRD1/LIG3/BAZ1A/OGG1/ANKRD17/XRCC5/PARPBP/KMT5B/PDS5A/ENY2/MCM3/TAF4/RFC3/BCL7C/NABP2/SKP2/WAPL/RUVBL2/CLCF1/SMARCA4/WDR48/HNRNPA2B1/H1-2/RAD50/HMGA2/UBE2V2/NPAS2/IL6/JADE2/NSMCE4A/VEGFA/CCT8/TNFSF4/SMC6/SLX1B/SLX1A/TAF2/BCL6/TRIM28/PAXIP1/RPA2/TAF12/BCL7A/USP7/MAGEF1/DHX9/RECQL5/TFDP1/UBE2N/POLQ/HSP90AA1/CCT7/ACTR2/HNRNPA1/PTGES3/POLG2/EREG/PTPRC/PRMT1/ATR/INO80B/DFFA/SMC5/RIF1/HSF1/ZMPSTE24/EHMT2/SGF29/CBX8/ATAD5/WEE1/STAT6/YEATS4/BLM/SENP2/WAS/UIMC1/MAPKAPK5/MRE11/SMARCC2/SMG6/CDKN1A/MORF4L1/MAPK3/UCN/SMCHD1/PRKCD/SPIDR/TP53BP1/PHF10/TP53/CDK2/PML/RBBP6/PPP4R3A/TERF2IP/MEAF6/EYA2/GNL3L/BAX/OTUB1/POT1/ERCC8/ZNF365/ERCC2/SETD2/IER3/ERCC1/RAD17/USP1/ACTB/EGFR/BCL7B/SUV39H1/TCP1/SHLD2/EP400/CEBPG/MAPK1/RTEL1/SRC/YLPM1",256
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","200/6139","369/18860",0.5420054200542,1.66512823297316,8.96367057450503,4.20861700104603e-18,8.93489389322071e-15,5.43133099292887e-15,"FAM107A/CD36/TEK/PECAM1/VWF/FOXF1/TNXB/FZD4/SPOCK2/GPM6B/ARHGAP6/SVEP1/LIMS2/PPM1F/EMP2/LYVE1/MACF1/CD34/FBLN5/DLC1/ANGPT1/LIMCH1/MDK/GREM1/GAS6/PLPP3/SMAD6/ACVRL1/FERMT2/THSD1/FBLN1/PARVA/PIK3R1/SORBS1/CORO2B/RRAS/MMP12/GFUS/NOTCH1/TSC1/JAM3/COL1A1/STON1/ITGA8/COL13A1/CTTN/CDH13/COL3A1/NDNF/NEDD9/MINK1/KIF14/PDGFB/PLAU/ECM2/FERMT1/SLK/DAB2/VAMP3/PTPN1/DUSP3/WASHC2C/P4HB/DDR1/SORBS3/FUT1/EFEMP2/ILK/KANK1/POSTN/ITGA10/CASK/SPRY4/ITGAL/ITGA5/POLDIP2/CLASP2/RHOD/CDKN2A/CDK5/CRK/AGR2/CD44/EGFL6/MMP14/TRIOBP/SIGLEC1/JAK2/PIP5K1A/PPFIA1/TIAM1/PKD1/TLN1/PARVB/PTPRO/AXL/PDPN/VCL/ADAMTS9/ROCK2/COL5A3/LAMC1/SPOCK1/THY1/JAG1/NF1/CX3CL1/ABI3BP/ITGAV/ACTN2/JUP/SRF/LPXN/ITGA2/SEMA3E/HPSE/TNFRSF12A/CALR/ZYX/ITGA1/PKP2/RIN2/RAC3/ITGA7/CCN2/PXN/EPHA1/C1QBP/DUSP22/ITGAX/HACD1/BCL2L11/SGCE/ITGB4/ADAM15/MKLN1/NID1/MYOC/LEF1/MUC4/SLC9A1/ITGB8/MICALL2/TESK2/VEGFA/RHOA/BCR/BCL6/PRKX/PPARD/VCAM1/LYPD3/ITGA6/ITGA4/MAP4K4/RAB1A/RNF7/CCN1/CARMIL1/BST1/PTEN/AKIP1/EFNA5/LAMB1/UTRN/FGB/CUL5/PTK2B/ROCK1/CIB1/ACTG1/ANTXR1/ARHGEF7/HSD17B12/TACSTD2/ATP1B2/EPHB3/TTYH1/CASS4/ITGBL1/FN1/ITGAM/COL17A1/DMTN/THBS1/GSK3A/ARL2/SMAD3/KDR/BCL2/ARPC2/ITGB5/ADAMTS13/ANXA2/TAOK2/ACTN4/NF2/PEAK1/FER/SRC",200
"GO:0033044","BP","GO:0033044","regulation of chromosome organization","143/6139","244/18860",0.586065573770492,1.8004881448626,8.7428726637474,3.74514311992085e-17,5.96320413269397e-14,3.62490431449181e-14,"TAL1/KLF4/H3-3B/ZWINT/CDC20/SMARCA2/CCNB1/PRKCQ/CENPF/CCT3/KNTC1/CDK1/FEN1/MAD2L1/NEK2/KAT2B/BIRC5/PARP1/CCT5/HNRNPC/BUB1B/UBE2C/CCT6A/DLGAP5/DKC1/CDCA8/TACC3/TEX14/NCAPG2/SMARCA5/BUB1/TTK/UCHL5/GNL3/DUSP1/CDC6/ACTR5/NCAPG/ZNF207/SMARCB1/NAT10/NDC80/AURKB/TRIP13/NEK7/SPDL1/RUVBL1/PLK1/YY1/NCAPH/ESPL1/ACTL6A/CENPE/HNRNPD/MAP3K4/BUB3/CCT2/NCAPD3/SMARCC1/TINF2/SPC25/APC/DDX11/ZWILCH/FBXO5/SLF2/PNKP/SENP6/SMARCE1/NFRKB/SMG5/CCT4/NVL/CUL3/HNRNPU/KAT5/LMNA/XRCC5/MAD2L1BP/BCL7C/NABP2/WAPL/RUVBL2/SMARCA4/HNRNPA2B1/RAD50/SMC2/NSMCE4A/SFPQ/CCT8/SMC6/SLX1B/SLX1A/LCMT1/CDC27/ANAPC1/BCL7A/USP7/SMC4/SKA1/NAA10/HSP90AA1/CCT7/HNRNPA1/PTGES3/NUMA1/ATR/BECN1/KLHL22/INO80B/SMC5/MACROH2A1/IK/TPR/NCAPD2/MAPKAPK5/MRE11/SMARCC2/SMG6/MAPK3/RAD21/PHF10/TP53/CDK2/PML/RNF4/TERF2IP/ANAPC5/GNL3L/ANAPC15/POT1/ERCC1/ACTB/BCL7B/ANAPC2/MAD1L1/TCP1/DYNC1LI1/MAPK1/RTEL1/ZW10/SRC/YLPM1",143
"GO:1903829","BP","GO:1903829","positive regulation of protein localization","233/6139","459/18860",0.507625272331155,1.55950686368555,8.43021341796595,2.44302581379705e-16,3.11192628161468e-13,1.89167346171485e-13,"CD36/PECAM1/SPTBN1/RAMP3/RIPOR1/GAS6/FERMT2/PIAS1/MYH10/EPB41L2/PRKCH/SOX4/TTN/PIK3R1/SORBS1/PLA2G1B/PKP3/NPM1/HYAL2/RAPGEF3/ECT2/FYN/CDH1/CCT3/CDK1/OAZ1/GPER1/GNA11/KCNN4/DSG2/NEDD9/PARP1/CCT5/RXRA/SEC24A/RER1/WWTR1/CCT6A/UNC13B/RBP4/TMED10/CD81/ARHGEF16/VAMP2/ITPR1/F2RL1/RDX/TMEM132A/CYLD/GPSM2/FARP1/EDN1/SNCA/ABCG1/RAPGEF4/SLC5A3/GNL3/PPP3CB/STAC/PPARG/AMOTL2/EPHB2/SFN/BMP6/SYT11/MCOLN1/FRMD4A/PRKCB/PLK1/RAB11FIP2/TYROBP/CDKN2A/LRP1/CRK/GPD1L/PARK7/AGR2/NMU/HIF1A/CLSTN3/DZIP1/TM9SF4/JAK2/CCT2/RAN/ERGIC3/ACSL3/PPIA/ERBB4/CD2AP/AP2B1/TLR4/MGAT3/TCF7L2/MEAK7/UBR5/ROCK2/NUP62/ATP2B4/MSN/HLA-DRB1/NADK/PLK3/APBB1/APC/JUP/ADAM8/RUFY3/PSMD9/PLS1/OSBP/IFNAR2/ADORA2A/TFRC/TMEM35A/CCT4/EGF/GOLPH3L/CFTR/ZPR1/PRKD1/ARF6/CDK5RAP3/PRKCA/ANKRD1/RTN4/CEP250/ABCA12/ASPH/JAK1/NMT1/PRKACA/GOLPH3/ZDHHC3/KIF20B/B3GAT3/FCER1G/IPO7/XBP1/CAMP/HSP90AB1/VRK1/RAB38/PFKFB2/VEGFA/CCT8/VEGFC/AACS/ATP2C1/TRIM28/PPARD/DNM1L/TMEM30B/IRS2/CD38/HSP90AA1/PRKAA1/ACSL4/PDCD10/CCT7/OAZ3/LAMTOR5/NMD3/NUMA1/ACHE/ABHD17A/FGB/CHRM3/HCLS1/RBM22/ATP13A2/MPC2/CIB1/CAMK1/MAPK14/LRP4/DLG1/NR1H2/CD247/LRIG2/TPR/CTNND1/OAZ2/RAB11A/CHP1/MDM2/PCM1/PRNP/IL1B/LYN/TNFAIP6/ENTR1/CENPQ/PRKCD/EIF4G1/VSNL1/SYBU/PML/EMD/SSH1/PGRMC1/C2CD2L/CCDC88A/GNL3L/CD33/SORL1/PRR5L/ARHGEF5/SQSTM1/SMAD3/TRIM8/IPO5/VPS28/LIMK2/EDEM1/EIF2AK3/ICE1/CEP131/PSEN1/WNT5A/UBE3A/BCAP31/EGFR/MYRIP/NF2/RHOG/TCP1/ANP32B/KIF5B/DRC4/GLUD1/SRC/PIK3R2",233
"GO:0006913","BP","GO:0006913","nucleocytoplasmic transport","187/6139","350/18860",0.534285714285714,1.64141204942638,8.41425070236486,3.56508515879789e-16,3.24371819662625e-13,1.9717869494825e-13,"CD36/ANGPT1/GAS6/PIK3R1/KPNA2/IL33/PKIG/NPM1/MMP12/HYAL2/NOTCH1/RAPGEF3/ECT2/CDH1/CDK1/IPO4/NCBP2/SEM1/CPSF6/FERMT1/NUP42/NFKBIA/CRY2/E2F3/RANBP1/KPNA1/NUP155/SFN/EIF6/XPOT/SMURF1/UBE2I/NUP210/TXNIP/NDC1/NR4A1/KPNB1/NUP214/INSIG1/SEC13/HSPA9/CDKN2A/RITA1/CDK5/NXF3/PARK7/EPM2A/JAK2/NUP50/RAN/EGR2/POLDIP3/DDX56/PKD1/LSG1/FRAT1/SMG7/RBM15B/DDX39A/MAGOHB/UBR5/CHTOP/RAE1/NUP62/EIF4E/HHEX/ELAVL1/NF1/NUP205/SIRT7/NUP37/NUP85/TRAF3IP2/JUP/CALR/XPO1/NUP107/RGPD5/RGPD8/RGPD6/NCBP1/SDAD1/NUTF2/SMG5/NUP62CL/NXF1/ZPR1/PRKD1/BARD1/DESI1/LMNA/CSE1L/PRKACA/ENY2/CCHCR1/FAM53C/KPNA6/HNRNPA2B1/KHDRBS1/SUMO1/ADAR/IPO7/XBP1/NUP88/PKIA/NOL6/MX2/KPNA3/TRIM28/ANP32A/PPP1R12A/RANGAP1/TXN/DHX9/FAM53B/ATF2/RGS14/HSP90AA1/EI24/AHCTF1/POLA2/FGF9/HNRNPA1/NMD3/NXT1/EIF4A3/HCLS1/RBM22/NUP93/PAQR3/IPO9/NEDD4/POM121/POM121C/BACH2/CAMK1/MAGOH/AXIN1/KPNA4/NUP43/WNK1/MAPK14/CASC3/TPR/SSB/NXT2/RBM8A/RANBP3/CHP1/MDM2/IL1B/SMG6/CDKN1A/SRSF3/SIX2/PRKCD/AGFG1/SP100/TP53/XPO6/PML/ZC3H11A/ZC3H11C/EMD/MALT1/MBTPS2/RANBP2/PABPN1/SQSTM1/SMAD3/IPO5/KCNQ3/NUP98/PRKAG1/DRD1/SETD2/IER3/PSEN1/ING1/RSRC1/STAT3/ATXN1/PPP3R1/SPG11/ANP32B/THOC5/PIK3R2",187
"GO:0051169","BP","GO:0051169","nuclear transport","187/6139","350/18860",0.534285714285714,1.64141204942638,8.41425070236486,3.56508515879789e-16,3.24371819662625e-13,1.9717869494825e-13,"CD36/ANGPT1/GAS6/PIK3R1/KPNA2/IL33/PKIG/NPM1/MMP12/HYAL2/NOTCH1/RAPGEF3/ECT2/CDH1/CDK1/IPO4/NCBP2/SEM1/CPSF6/FERMT1/NUP42/NFKBIA/CRY2/E2F3/RANBP1/KPNA1/NUP155/SFN/EIF6/XPOT/SMURF1/UBE2I/NUP210/TXNIP/NDC1/NR4A1/KPNB1/NUP214/INSIG1/SEC13/HSPA9/CDKN2A/RITA1/CDK5/NXF3/PARK7/EPM2A/JAK2/NUP50/RAN/EGR2/POLDIP3/DDX56/PKD1/LSG1/FRAT1/SMG7/RBM15B/DDX39A/MAGOHB/UBR5/CHTOP/RAE1/NUP62/EIF4E/HHEX/ELAVL1/NF1/NUP205/SIRT7/NUP37/NUP85/TRAF3IP2/JUP/CALR/XPO1/NUP107/RGPD5/RGPD8/RGPD6/NCBP1/SDAD1/NUTF2/SMG5/NUP62CL/NXF1/ZPR1/PRKD1/BARD1/DESI1/LMNA/CSE1L/PRKACA/ENY2/CCHCR1/FAM53C/KPNA6/HNRNPA2B1/KHDRBS1/SUMO1/ADAR/IPO7/XBP1/NUP88/PKIA/NOL6/MX2/KPNA3/TRIM28/ANP32A/PPP1R12A/RANGAP1/TXN/DHX9/FAM53B/ATF2/RGS14/HSP90AA1/EI24/AHCTF1/POLA2/FGF9/HNRNPA1/NMD3/NXT1/EIF4A3/HCLS1/RBM22/NUP93/PAQR3/IPO9/NEDD4/POM121/POM121C/BACH2/CAMK1/MAGOH/AXIN1/KPNA4/NUP43/WNK1/MAPK14/CASC3/TPR/SSB/NXT2/RBM8A/RANBP3/CHP1/MDM2/IL1B/SMG6/CDKN1A/SRSF3/SIX2/PRKCD/AGFG1/SP100/TP53/XPO6/PML/ZC3H11A/ZC3H11C/EMD/MALT1/MBTPS2/RANBP2/PABPN1/SQSTM1/SMAD3/IPO5/KCNQ3/NUP98/PRKAG1/DRD1/SETD2/IER3/PSEN1/ING1/RSRC1/STAT3/ATXN1/PPP3R1/SPG11/ANP32B/THOC5/PIK3R2",187
"GO:0051054","BP","GO:0051054","positive regulation of DNA metabolic process","157/6139","283/18860",0.554770318021201,1.70434406220555,8.29349917120111,1.09155651506778e-15,8.69015430558339e-13,5.28255902949909e-13,"AGER/FGFR4/KLF4/SMARCA2/PRKCQ/FGF2/CCT3/CDK1/RFC4/NEK2/PARP1/CCT5/CCNA2/VPS72/MRGBP/PDGFB/H2AX/CCT6A/TNFSF13/DKC1/DBF4/CDT1/BRCC3/CACYBP/SMARCA5/UCHL5/GNL3/UBE2B/FOXM1/TIMELESS/NSD2/RAD51AP1/E2F8/ACTR5/KCTD13/PRKDC/SMARCB1/AURKB/NEK7/HGF/RUVBL1/TNFAIP1/YY1/ACTL6A/PMS2/HNRNPD/CDC7/FUS/PCNA/NOX4/MORF4L2/MAP3K4/DSCC1/CCT2/DNA2/RFC5/SMARCC1/RFC2/BRCA1/ING3/TINF2/FH/MSH2/FGFR1/PTK6/TRRAP/CDC25A/DDX11/PDGFRB/SLF2/PNKP/FAF1/CYREN/SMARCE1/TFRC/NFRKB/CCT4/NVL/SSBP1/KAT5/BAZ1A/KMT5B/RFC3/BCL7C/NABP2/SKP2/RUVBL2/CLCF1/SMARCA4/WDR48/HNRNPA2B1/RAD50/UBE2V2/NPAS2/IL6/VEGFA/CCT8/TNFSF4/SLX1B/SLX1A/TRIM28/PAXIP1/BCL7A/DHX9/UBE2N/HSP90AA1/CCT7/ACTR2/HNRNPA1/PTGES3/POLG2/EREG/PTPRC/PRMT1/ATR/INO80B/RIF1/HSF1/CBX8/ATAD5/WEE1/STAT6/YEATS4/WAS/UIMC1/MAPKAPK5/MRE11/SMARCC2/CDKN1A/MORF4L1/MAPK3/UCN/SMCHD1/PRKCD/SPIDR/TP53BP1/PHF10/CDK2/PML/TERF2IP/MEAF6/EYA2/BAX/POT1/ERCC8/ERCC2/ERCC1/USP1/ACTB/EGFR/BCL7B/TCP1/SHLD2/EP400/CEBPG/MAPK1/RTEL1",157
"GO:0042060","BP","GO:0042060","wound healing","228/6139","453/18860",0.503311258278146,1.54625351541388,8.17521833902459,1.75821555722091e-15,1.24423054266e-12,7.5634114847468e-13,"CD36/AGER/PECAM1/DUOX1/VWF/CAV1/SVEP1/MACF1/CD34/ENG/THBD/GATA2/ANGPT1/CPB2/AHNAK/HBB/SELP/WFDC1/GAS6/ACVRL1/FERMT2/MYH10/GNAQ/FBLN1/DST/FAP/MMP12/HBEGF/SH2B3/TIMP1/SERPING1/PRKCQ/FGF2/SLC6A4/MYLK/MYL9/F8/COL3A1/CLDN4/NDNF/CLDN3/CSRP1/AQP1/PDGFB/PLAU/ODAM/PAK1/FERMT1/ALOX5/ADIPOR2/HPS5/DDR1/ANXA8/F2RL1/TSPAN9/SLC11A1/PROS1/CEACAM1/CASP1/MCAM/EDN1/ILK/KANK1/DDR2/PPARG/CASK/EPHB2/NPR2/GPR4/SYT11/DSP/IL6ST/PDIA3/ITGA5/COL5A1/CLASP2/CCN4/MMRN1/TBXA2R/COMP/ITPK1/METAP1/SCRIB/F12/IL6R/TSKU/ARHGAP24/CRK/CD44/HIF1A/JAK2/ERBB2/PF4/PRF1/PPIA/SERPINE2/TLR4/TLN1/CD59/SLC7A11/NACA/AXL/FKBP10/PDPN/ARFGEF1/VCL/STXBP1/PRKG1/NF1/CX3CL1/F10/ITGAV/SRF/ITGA2/HPSE/TNFRSF12A/PTK7/MIA3/ADORA2A/PLA2G4A/F5/GGCX/TNFAIP3/ADGRG1/TMX1/VKORC1/PRKCA/FIBP/CORO1B/TFPI/PRDX2/MSX2/FCER1G/PTPN6/PDGFA/RAP2B/ERBB3/SMPD1/C1GALT1C1/PRRG1/XBP1/CHMP3/EPPK1/PABPC4/IL6/VEGFA/RHOA/TFPI2/ANGPTL4/DGKG/PPARD/LMAN1/PDGFRA/CLDN1/PLAUR/P2RX1/PRCP/P2RY1/ANXA1/PLCG2/RAB27A/PTEN/PDCD10/NFE2L2/CHMP1B/FOXA2/EREG/F11/KRT6A/KLKB1/FGB/C1QTNF1/HNF4A/GNAS/ACTG1/PRRG2/ADTRP/F3/DCBLD2/CELA2A/MAPK14/ANGPTL7/JMJD1C/PPARA/WAS/HSPB1/CD9/PRRG4/SLC12A2/MYOF/DGKA/LYN/CDKN1A/DGKH/FN1/ADAM17/SCARB1/VPS4B/SRSF6/PRKCD/MYOZ1/ENTPD1/MYL12A/DMTN/B4GALT1/DGKZ/THBS1/NRG1/C4BPB/FGL1/SPRR3/ANXA5/SMAD3/CLEC7A/KDR/CADM4/ITGB5/HPS4/ADAMTS13/ANXA2/WNT5A/ACTB/VPS33B/RAB3A/EVPL/INSL3/CASP7/SRC",228
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition","229/6139","461/18860",0.496746203904555,1.52608460753216,7.94431523324872,9.74508597032551e-15,6.20664525450032e-12,3.77288696830076e-12,"FAM107A/FHL1/RGCC/RCC1/KLF4/KANK2/ID4/PIAS1/CALM1/CALM2/RRM2/ZWINT/CDC20/SMARCA2/CCNB1/CTDSPL/CENPF/ADAMTS1/TCF3/NES/CCNB2/MELK/CCND2/KNTC1/CDK1/CDKN1C/MAD2L1/CDKN3/BIRC5/DONSON/CCNA2/KIF14/BUB1B/UBE2C/AURKA/KLF11/ID2/DLGAP5/DBF4/E2F3/FOXN3/CDCA8/UBE2S/TACC3/RDX/BRCC3/TEX14/CCNE1/PPME1/BUB1/PPM1D/TTK/XPC/CCNE2/DDR2/FOXM1/CCND3/PSME3/STIL/DUSP1/EZH2/CDC6/KCNA5/PRKDC/ZNF207/CDK4/CHEK1/SMARCB1/NDC80/CTDSP1/JADE1/AURKB/CLASP2/TRIP13/PBX1/EIF4EBP1/SPDL1/PLK1/ESPL1/ACTL6A/CENPE/RAD51C/CDKN2A/UBD/CHEK2/CDC7/BUB3/SMARCC1/CDC73/PKD1/CKS2/RPS6KB1/CDC25C/UBE2A/BRCA1/SPC25/ZFP36L2/RBBP8/EIF4E/DTL/PLK3/CDC25A/TAF10/RRM1/RINT1/APC/ZWILCH/FBXO5/ABCB1/CDK7/GTPBP4/FBXL7/MNAT1/FBXO7/HUS1/SMARCE1/TAOK3/TOPBP1/CCNO/GSPT1/NFIB/PRMT2/CUL3/TRIM39/TRIAP1/PIM2/CCNF/PKMYT1/BARD1/CDK5RAP3/NOP53/CCNG2/ANKRD17/ARPP19/MAD2L1BP/BCL7C/PTPN6/NABP2/SKP2/DDB1/PSME2/CDC34/SMARCA4/KHDRBS1/RAD50/AVEN/PKIA/CUL4B/TAF2/LCMT1/RPA2/CDC27/BID/TREX1/ANAPC1/BCL7A/RFWD3/SKA1/TFDP1/ANXA1/CCNJL/PTEN/FBXL15/ACVR1B/ATR/CUL5/KLHL22/RBL2/CDC14A/E2F1/SMC5/ORC1/NAE1/PHF8/IK/CDK14/PKD2/RBL1/DLG1/ATAD5/TPR/WEE1/BLM/SENP2/AIF1/RAB11A/UIMC1/MDM2/MRE11/DNM2/SMARCC2/TMEM14B/CDKN1A/KLHL18/ADAM17/RAD21/VPS4B/MARK3/EIF4G1/PHF10/ECD/TP53/CDK2/HSPA2/DGKZ/ACVR1/ANAPC5/HINFP/MBTPS2/POLE/CCNP/ANAPC15/BCL2/ZFP36L1/ERCC2/IER3/RAD17/CDC14B/ACTB/EGFR/BCL7B/ANAPC2/TAOK2/NEUROG1/MAD1L1/DYNC1LI1/FZR1/ZW10/CCND1",229
