"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","124/3484","205/9564",0.604878048780488,1.66046316261096,7.23594351664842,1.35160567241263e-12,4.71710379672007e-10,2.17679650399086e-10,"PIK3R1/HLA-E/IRAK1/AKT3/CCND2/CCNA2/SEM1/CYCS/PSMD14/NFKBIA/E2F3/PSMD11/VIM/GADD45B/FADD/CCNE1/PSMD12/PSMD4/PSMD3/CCNE2/CCND3/ITGAL/PDIA3/MAPK13/CDK4/BTK/CASP3/CD44/BAK1/PSMC4/JUN/TRAF3/HLA-DRB5/HLA-DRB1/HLA-DRB4/CALR/PSMD2/IFNAR2/HLA-DRB3/TNFAIP3/BLNK/HLA-DPB1/STAT1/BCL2L11/FAS/HLA-DMA/HDAC1/PSMD7/MAP3K14/CD19/JAK1/PSMC1/NFKBIE/OAS1/HLA-DPA1/HLA-DRA/SKP2/MAP3K7/CASP8/IRF7/PSMC2/MAP2K3/LOC102723407/IL6/RUNX3/PSMD1/OAS3/OAS2/HDAC2/CXCL10/PIK3R3/ADRM1/MAPK10/BID/USP7/NCOR2/HLA-DQB1/ICAM1/PLCG2/CR2/ISG15/PSMC5/GADD45A/HLA-DQA1/HLA-DQA2/PSMC6/HLA-DMB/CD58/E2F1/NEDD4/MYD88/TRAF5/MAPK14/SAP30/B2M/IKBKE/CD247/PSMD8/TRADD/MDM2/MAPK11/LYN/CDKN1A/TRAF6/ENTPD1/TP53/IRF3/CDK2/HLA-C/BAX/DDB2/BCL2/PSMD13/PIK3CD/STAT3/MAPK12/NFKB1/MAP2K6/TAPBPL/TAPBP/ENTPD3/RELB/PIK3R2/CCND1",124
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","98/3484","158/9564",0.620253164556962,1.70266970890436,6.7415793372148,4.07048757290323e-11,7.10300081471613e-09,3.27781367712734e-09,"CDC20/CCNB1/PTTG1/MCM4/CCNB2/CCND2/CDK1/CDKN1C/MAD2L1/MCM2/PDS5B/CCNA2/BUB1B/MCM6/PPP2R5A/DBF4/E2F3/CDT1/GADD45B/CCNE1/BUB1/TTK/CCNE2/CDC45/CCND3/YWHAZ/SFN/CDC6/PRKDC/CDK4/CHEK1/NDC80/AURKB/TRIP13/E2F5/PLK1/ESPL1/CDKN2A/TFDP2/CHEK2/CDC7/ORC5/PCNA/ORC6/MCM5/BUB3/MCM7/STAG1/CDC25C/PPP2CB/CDC25A/DDX11/FBXO5/CDK7/SMC1A/ORC4/PKMYT1/HDAC1/NIPBL/PDS5A/MAD2L1BP/MCM3/ORC2/SKP2/WAPL/HDAC2/CDC27/ANAPC1/TFDP1/PPP2R5C/PPP2R1B/GADD45A/ATR/RBL2/CDC14A/E2F1/ORC1/RBL1/WEE1/PPP2R5B/MDM2/PPP2R5D/CDKN1A/RAD21/TP53/CDK2/ANAPC5/SKP1/YWHAQ/PPP2R5E/ANAPC15/SMAD3/CDC14B/ANAPC2/MAD1L1/FZR1/PPP2R1A/CCND1",98
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","120/3484","205/9564",0.585365853658537,1.6068998347848,6.64911106836831,6.65331714421863e-11,7.74002561110767e-09,3.57178078268579e-09,"PIK3R1/HLA-E/CDC20/CCND2/H2BC5/CDK1/KAT2B/STAT5B/PKM/H4C12/H4C11/CCNA2/NFKBIA/H2BC7/RANBP1/CCNE1/H2BC6/DNAJA3/STAT5A/CCNE2/PMAIP1/CCND3/YWHAZ/IL6ST/CDK4/CHEK1/SND1/H2BC9/KAT2A/H2BC12L/H2BC12/LOC102724334/NRAS/SCRIB/CDKN2A/CASP3/H2BC10/EGR2/GSN/POLB/BAK1/H2BC4/JUN/TRAF3/SRF/H2BC8/PXN/HDAC4/HDAC1/GTF2H4/JAK1/PRKACA/PSMC1/EGR3/SKP2/DDB1/CASP8/IRF7/C3/GTF2E1/RHOA/HDAC2/PIK3R3/USP7/ATF2/VAC14/MAPKAPK2/GTF2E2/RBL2/TRAF5/GTF2A2/RBL1/CREB3L2/DLG1/H2BC21/CREB3L1/HDAC5/TRADD/MDM2/HPN/LYN/CDKN1A/H4C8/MAPK3/H4C2/GTF2H2/GTF2H2C/GTF2H2C_2/SP100/TP53/IRF3/CDK2/CREB1/CHD4/HDAC7/ATF6B/H4C14/H4C15/HLA-C/CREB3/MRPS18B/YWHAQ/H4C3/BAX/PRKACB/ATP6V0D1/PIK3CD/HNRNPK/UBE3A/KRAS/STAT3/NFKB1/ACTN4/MAD1L1/RASA2/VDAC3/MAPK1/SRC/PIK3R2/CCND1",120
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","128/3484","224/9564",0.571428571428571,1.56864031490897,6.51887388354907,1.45694472052201e-10,1.27118426865546e-08,5.8661195326281e-09,"TGFBR2/PIK3R1/HLA-E/AKT3/CDC20/PTTG1/TCF3/CCNB2/ETS2/CCND2/MAD2L1/SLC2A1/KAT2B/ADCY9/STAT5B/CCNA2/BUB1B/NFATC1/NFKBIA/E2F3/ZFP36/RANBP1/CCNE1/STAT5A/CCNE2/PPP3CB/CCND3/ITGAL/CDK4/CHEK1/PPP3CC/KAT2A/NRAS/ADCY3/ESPL1/MAP3K3/NFATC3/CDKN2A/CHEK2/CRTC3/BUB3/RAN/EGR2/VDAC1/CD4/TLN1/POLB/NFYB/JUN/HLA-DRB5/HLA-DRB1/HLA-DRB4/TRRAP/SRF/CALR/XPO1/EGR1/CANX/SPI1/HLA-DRB3/HLA-DPB1/XIAP/MMP7/HLA-DMA/KAT5/MAP3K14/JAK1/PRKACA/MSX2/IL1R1/HLA-DPA1/HLA-DRA/FOS/IL6/MSX1/PIK3R3/MAPK10/CDC27/ANAPC1/SLC25A4/HLA-DQB1/ATF2/ICAM1/PTEN/VAC14/ELK1/IL2RA/ATR/HLA-DQA1/HLA-DQA2/HLA-DMB/E2F1/B2M/CREB3L2/DLG1/BCL2L1/CREB3L1/MAP2K2/RANBP3/GPS2/CDKN1A/MAPK3/TP53/CDK2/CREB1/ANAPC5/ATF6B/HLA-C/CREB3/BAX/PRKACB/ANAPC15/SMAD3/PIK3CD/TSPO/ELK4/KRAS/IL15RA/ANAPC2/ADCY7/NFKB1/PPP3R1/MAD1L1/VDAC3/MAPK1/RELB/PIK3R2/CCND1",128
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","93/3484","154/9564",0.603896103896104,1.6577676055288,6.22905823642887,9.92244603162092e-10,6.9258673300714e-08,3.19607209018526e-08,"SPP1/VWF/VEGFD/TNXB/LIMS2/ARHGEF6/ICAM2/FERMT2/THBS2/PARVA/PIK3R1/LAMC3/AKT3/COL1A1/CDH1/ITGA8/CCND2/LAMA4/COL1A2/PDGFB/FERMT1/COL4A3/LAMB2/FLT1/LAMA2/ILK/RELN/COL4A5/ITGA10/CCND3/ITGAL/ITGA5/FLNB/FLT4/HGF/COMP/ERBB2/LAMA3/TLN1/PARVB/VCL/LAMC1/ITGAV/PDGFRB/ITGA2/TNC/ITGA1/COL4A2/EGF/TNR/RAC3/ITGA7/PXN/ITGAX/ITGB4/COL6A3/PDGFA/ITGB8/COL4A4/C3/VEGFA/VEGFC/PIK3R3/LAMB3/COL6A2/VCAM1/ICAM4/PDGFRA/ITGA6/ITGA4/FRAS1/ICAM1/LAMB1/COL9A3/FGB/PGF/COL4A6/ACTG1/MET/FN1/ITGAM/PDGFC/THBS1/KDR/ITGB5/PIK3CD/ACTB/EGFR/ACTN4/LAMC2/SRC/PIK3R2/CCND1",93
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","115/3484","203/9564",0.566502463054187,1.55511755357355,6.0514049794642,2.53946504719288e-09,1.47712216911719e-07,6.81645881088614e-08,"SPP1/VWF/VEGFD/TNXB/CAV1/EMP2/CAV2/PIP5K1B/THBS2/PARVA/PIK3R1/LAMC3/AKT3/FYN/COL1A1/ITGA8/CCND2/MYLK/MYL9/LAMA4/RASGRF1/COL1A2/PDGFB/PAK1/COL4A3/LAMB2/FLT1/PAK6/LAMA2/ILK/RELN/COL4A5/ITGA10/CCND3/PPP1R12B/EMP1/ITGA5/FLNB/FLT4/PRKCB/HGF/SHC3/COMP/CRK/ERBB2/PIP5K1A/LAMA3/TLN1/PARVB/VCL/ROCK2/PIP5K1C/LAMC1/JUN/ITGAV/PDGFRB/ITGA2/TNC/ZYX/ITGA1/COL4A2/EGF/TNR/RAC3/ITGA7/PPP1CB/PXN/XIAP/ITGB4/PRKCA/SHC1/COL6A3/PDGFA/ITGB8/COL4A4/VEGFA/VEGFC/RHOA/PIK3R3/LAMB3/MAPK10/PPP1R12A/COL6A2/PAK2/PDGFRA/ITGA6/ITGA4/PTEN/ELK1/LAMB1/COL9A3/PPP1CA/PGF/ROCK1/COL4A6/ACTG1/MET/MAPK3/FN1/PDGFC/MYL12A/THBS1/MYL12B/KDR/BCL2/ITGB5/PIK3CD/ACTB/EGFR/ACTN4/LAMC2/MAPK1/SRC/PIK3R2/CCND1",115
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","148/3484","278/9564",0.532374100719424,1.46143108475332,5.910160398492,5.05476539535493e-09,2.52016160425553e-07,1.16297609848016e-07,"CAV1/CAV2/COX7A1/PIK3R1/KLC1/NOTCH1/FYN/C7/HSPA5/PSMB2/SEM1/PSMB3/CYCS/PSMD14/STIP1/RYR2/ITPR1/PSMD11/EIF2S1/CSNK2A1/PSMA5/PSMD12/NDUFS8/PSMB5/PSMD4/PSMD3/PPP3CB/SDHC/PPIF/MAPK13/TUBB6/PPP3CC/UQCRH/PSMB4/ATP5PD/TUBB/UQCRQ/NCF2/PSMA2/CASP3/TUBA1A/NDUFAB1/CYC1/C8B/VDAC1/NDUFA6/PSMC4/TUBB3/PSMA1/COX5B/LAMC1/NDUFS5/NDUFS6/PSMA6/C1QA/EGR1/PSMD9/C1QB/PSMD2/NDUFS1/ATP5MC1/CACNA1D/SDHA/NDUFS2/COX6A1/COX5A/ATP5MC3/TUBB2A/TUBB2B/COX6B1/NDUFB11/KLC2/CSNK2B/COX6C/PSMD7/PRKACA/PSMC1/ATP5F1C/ATP5F1E/PSMC2/IL6/PSMD1/COXFA4L2/NDUFB4/PIK3R3/ADRM1/NDUFB3/MAPK10/COX7B/NDUFA1/SLC25A4/PSMA3/UQCRC1/ATF2/NDUFV2/PSMC5/PSMC6/TUBA4A/PSMA4/NCF1/HSPA1B/HSPA1A/NDUFB5/MAPK14/COX4I1/CREB3L2/CREB3L1/NDUFC2/PSMD8/MAPK11/PRNP/IL1B/PSMA7/C6/MAPK3/PRKCD/COX7A2L/NDUFA10/CREB1/NCF4/TUBA3D/ATF6B/CREB3/UQCR10/BAX/SOD1/PRKACB/NCAM1/PSMD13/PIK3CD/NDUFA9/EIF2AK3/CSNK2A2/NDUFS3/CYBB/MAPK12/PPP3R1/NDUFA13/PSMB7/CCL5/VDAC3/MAPK1/SDHB/NDUFA3/KIF5B/TUBA1C/PIK3R2/UQCR11",148
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","113/3484","203/9564",0.556650246305419,1.52807203090271,5.75657839812304,1.35332936858641e-08,5.63095360368156e-07,2.5985097311515e-07,"CLDN5/CLDN18/GAPDH/MYH11/MYH10/IRAK1/FYN/WASF3/TJP1/CTTN/CLDN4/CLDN3/SEC24A/PAK1/CYCS/NFKBIA/TMED10/MYO1F/WASF2/FADD/CASP1/ARHGEF2/MYO1B/BAIAP2/MAPK13/TUBB6/CLDN7/TNFSF10/TUBB/CASP3/ABCF2/SEC24D/TUBA1A/NCKAP1L/MYO1E/NAIP/TLR4/MYO1C/BAK1/TUBB3/ROCK2/ARHGEF12/JUN/CYTH1/ACTR3/LPAR1/TUBB2A/TUBB2B/CLDN10/FAS/ABCF2-H2BK1/ARF6/MYO6/ARPC1A/IL1R1/NLRP3/PTPN6/MAP3K7/CASP8/FOS/LOC102723407/IL6/NHERF1/RHOA/MAPK10/PAK2/CASP4/CLDN1/WASF1/RAB1A/ARF1/PYCARD/ACTR2/CYTH2/TMBIM6/HCLS1/TUBA4A/ROCK1/ACTG1/MYD88/ARPC5L/MAPK14/LPAR2/CYFIP2/TRADD/CYFIP1/MAPK11/IL1B/ARPC3/TLR5/MAPK3/CLDN6/NCL/TRAF6/CYTH4/TUBA3D/WASL/NCKAP1/MYO5C/ARPC1B/BAX/ARPC2/ACTB/MAPK12/NFKB1/MYO1D/ARPC4/CASP7/MAPK1/TUBA1C/FCGR2A/MYO10/SRC",113
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","54/3484","80/9564",0.675,1.85295637198622,5.79909736124077,1.4521083791729e-08,5.63095360368156e-07,2.5985097311515e-07,"GAS6/PIK3R1/AKT3/FGFR2/FGF2/PDGFB/FOXO3/GAB1/PRKCB/EIF4EBP1/HGF/SHC3/NRAS/IL6R/JAK2/EIF4E2/ERBB2/RPS6KB1/AXL/EIF4E/NF1/PDGFRB/TGFA/EGF/BCL2L11/PRKCA/SHC1/JAK1/PDGFA/ERBB3/IL6/VEGFA/PIK3R3/PDGFRA/PLCG2/PTEN/FGFR3/MET/BCL2L1/MAP2K2/MAPK3/PDGFC/NRG1/RPS6KB2/BAX/KDR/BCL2/PIK3CD/KRAS/EGFR/STAT3/MAPK1/SRC/PIK3R2",54
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","64/3484","101/9564",0.633663366336634,1.73948232940401,5.65533621011106,3.01718387352512e-08,1.05299717186027e-06,4.85925402788782e-07,"AGER/AGTR1/VEGFD/THBD/TGFBR2/PIK3R1/AKT3/COL1A1/PLCE1/COL3A1/FOXO1/STAT5B/COL1A2/NFATC1/PLCB4/COL4A3/EDN1/COL4A5/STAT5A/MAPK13/CDK4/PRKCB/NRAS/CASP3/NOX4/PRKCZ/JAK2/JUN/EGR1/COL4A2/SELE/STAT1/PRKCA/COL4A4/IL6/VEGFA/VEGFC/PIK3R3/MAPK10/VCAM1/PLCB2/ICAM1/PLCG2/COL4A6/F3/MAPK14/AGT/MAPK11/IL1B/MAPK3/FN1/PRKCD/BAX/SMAD3/BCL2/PIK3CD/CYBB/KRAS/STAT3/MAPK12/NFKB1/MAPK1/PIK3R2/CCND1",64
